,temperature
2010-05-01 00:00:00,487.0
2010-05-01 00:05:00,486.3333333333333
2010-05-01 00:10:00,485.6666666666667
2010-05-01 00:15:00,485.0
2010-05-01 00:20:00,484.3333333333333
2010-05-01 00:25:00,483.6666666666667
2010-05-01 00:30:00,483.0
2010-05-01 00:35:00,482.3333333333333
2010-05-01 00:40:00,481.6666666666667
2010-05-01 00:45:00,481.0
2010-05-01 00:50:00,480.3333333333333
2010-05-01 00:55:00,479.6666666666667
2010-05-01 01:00:00,479.0
2010-05-01 01:05:00,478.4166666666667
2010-05-01 01:10:00,477.8333333333333
2010-05-01 01:15:00,477.25
2010-05-01 01:20:00,476.6666666666667
2010-05-01 01:25:00,476.0833333333333
2010-05-01 01:30:00,475.5
2010-05-01 01:35:00,474.9166666666667
2010-05-01 01:40:00,474.3333333333333
2010-05-01 01:45:00,473.75
2010-05-01 01:50:00,473.1666666666667
2010-05-01 01:55:00,472.5833333333333
2010-05-01 02:00:00,472.0
2010-05-01 02:05:00,471.5833333333333
2010-05-01 02:10:00,471.1666666666667
2010-05-01 02:15:00,470.75
2010-05-01 02:20:00,470.3333333333333
2010-05-01 02:25:00,469.9166666666667
2010-05-01 02:30:00,469.5
2010-05-01 02:35:00,469.0833333333333
2010-05-01 02:40:00,468.6666666666667
2010-05-01 02:45:00,468.25
2010-05-01 02:50:00,467.8333333333333
2010-05-01 02:55:00,467.4166666666667
2010-05-01 03:00:00,467.0
2010-05-01 03:05:00,466.6666666666667
2010-05-01 03:10:00,466.3333333333333
2010-05-01 03:15:00,466.0
2010-05-01 03:20:00,465.6666666666667
2010-05-01 03:25:00,465.3333333333333
2010-05-01 03:30:00,465.0
2010-05-01 03:35:00,464.6666666666667
2010-05-01 03:40:00,464.3333333333333
2010-05-01 03:45:00,464.0
2010-05-01 03:50:00,463.6666666666667
2010-05-01 03:55:00,463.3333333333333
2010-05-01 04:00:00,463.0
2010-05-01 04:05:00,462.75
2010-05-01 04:10:00,462.5
2010-05-01 04:15:00,462.25
2010-05-01 04:20:00,462.0
2010-05-01 04:25:00,461.75
2010-05-01 04:30:00,461.5
2010-05-01 04:35:00,461.25
2010-05-01 04:40:00,461.0
2010-05-01 04:45:00,460.75
2010-05-01 04:50:00,460.5
