elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude

139,1948-01-01,2014-01-01,31.5702,"ABBEVILLE, AL US",0.8813,COOP:010008,METERS,-85.2482

249.3,1938-01-01,2015-11-01,34.2553,"ADDISON, AL US",0.5059,COOP:010063,METERS,-87.1814

302.1,1940-05-01,1962-03-01,34.41667,"ADDISON CENTRAL TOWER, AL US",0.9658,COOP:010071,METERS,-87.31667

172.2,1995-04-01,2015-11-01,33.17833,"ALABASTER SHELBY CO AIRPORT, AL US",0.8064,COOP:010116,METERS,-86.78167

183.8,1949-01-01,1949-12-01,34.6891,"BELLE MINA, AL US",1,COOP:010117,METERS,-86.8819

34.1,1935-05-01,1936-11-01,31.13333,"ALAGA, AL US",0.2624,COOP:010125,METERS,-85.06667

53.3,1940-11-01,2014-12-01,32.2322,"ALBERTA, AL US",0.9888,COOP:010140,METERS,-87.4104

348.1,1931-01-01,1977-06-01,34.23333,"ALBERTVILLE, AL US",0.9535,COOP:010148,METERS,-86.16667

195.1,1969-10-01,2015-11-01,32.9452,"ALEXANDER CITY, AL US",0.9946,COOP:010160,METERS,-85.948

200.9,1942-11-01,1969-10-01,32.98333,"ALEXANDER CITY 6 NE, AL US",0.9629,COOP:010163,METERS,-85.86667

59.4,1940-01-01,2015-11-01,33.1272,"ALICEVILLE, AL US",0.9144,COOP:010178,METERS,-88.155

50.3,1980-05-01,2015-11-01,33.21,"ALICEVILLE L AND D, AL US",0.9883,COOP:010184,METERS,-88.2878

76.2,1938-01-01,2015-11-01,31.3071,"ANDALUSIA 3 W, AL US",0.9744,COOP:010252,METERS,-86.5226

231.6,2004-07-01,2015-11-01,34.96285,"ANDERSON, AL US",1,COOP:010260,METERS,-87.37195

220.1,1948-01-01,1949-03-01,33.66667,"ANNISTON, AL US",1,COOP:010267,METERS,-85.83333

181.1,1948-01-01,2015-11-01,33.5872,"ANNISTON METROPOLITAN AIRPORT, AL US",0.9816,COOP:010272,METERS,-85.8556

227.1,1938-01-01,1983-10-01,34.06667,"ARLEY 1 S, AL US",0.9691,COOP:010338,METERS,-87.23333

311.5,1948-01-01,2013-11-01,33.2941,"ASHLAND, AL US",0.8872,COOP:010369,METERS,-85.7788

180.1,1941-06-01,1973-06-01,33.85,"ASHVILLE, AL US",0.9429,COOP:010377,METERS,-86.33333

210,1948-01-01,2015-11-01,34.7752,"ATHENS, AL US",0.5632,COOP:010390,METERS,-86.9508

219.5,1955-10-01,1991-07-01,34.8,"ATHENS 2, AL US",0.9442,COOP:010395,METERS,-86.98333

220.1,1958-05-01,1958-06-01,34.8,"ATHENS COURTHOUSE, AL US",0.998,COOP:010398,METERS,-86.96667

91.4,1940-01-01,2015-11-01,31.182,"ATMORE, AL US",0.7103,COOP:010402,METERS,-87.439

67.1,1965-01-01,1982-10-01,31.01667,"ATMORE, AL US",0.967,COOP:010407,METERS,-87.51667

223.1,1931-01-01,1970-12-01,32.6,"AUBURN, AL US",0.9917,COOP:010422,METERS,-85.5

166.1,1996-08-01,2015-11-01,32.5992,"AUBURN NUMBER 2, AL US",0.9828,COOP:010425,METERS,-85.4653

198.7,1948-01-01,1962-09-01,32.6,"AUBURN AGRONOMY FARM, AL US",1,COOP:010427,METERS,-85.5

198.7,1976-01-01,1996-07-01,32.6,"AUBURN AGRONOMY FARM, AL US",0.9673,COOP:010430,METERS,-85.5

61,1940-11-01,2001-09-01,32.47056,"AUTAUGAVILLE 3 N, AL US",0.9658,COOP:010440,METERS,-86.68

85.3,1957-01-01,2015-11-01,33.4527,"BANKHEAD LOCK AND DAM, AL US",1,COOP:010505,METERS,-87.3572

139.9,1949-01-01,1953-04-01,34.71667,"BARTON, AL US",0.9819,COOP:010546,METERS,-87.86667

82.6,1931-01-01,2015-11-01,30.884,"BAY MINETTE, AL US",0.9313,COOP:010583,METERS,-87.7852

54.3,1942-01-01,2000-11-01,31.72222,"BEATRICE, AL US",0.5927,COOP:010616,METERS,-87.21194

246.9,1948-01-01,1962-03-01,34.46667,"BELGREEN, AL US",1,COOP:010631,METERS,-87.86667

183.8,1950-01-01,2015-11-01,34.6891,"BELLE MINA, AL US",0.995,COOP:010655,METERS,-86.8819

157.9,1948-01-01,2015-11-01,33.6972,"BERRY 3 NW, AL US",0.2098,COOP:010748,METERS,-87.6491

164.9,1954-01-01,1975-06-01,33.36667,"BESSEMER, AL US",0.9421,COOP:010757,METERS,-87.01667

159.1,1958-01-01,1958-06-01,33.43333,"BESSEMER, AL US",1,COOP:010762,METERS,-86.91667

135.6,1977-01-01,2015-11-01,33.3952,"BESSEMER 3 WSW, AL US",0.998,COOP:010764,METERS,-87.0077

188.1,2003-05-01,2007-12-01,32.94417,"BESSIE, AL US",0.9634,COOP:010768,METERS,-86.83306

267.9,1958-01-01,1962-03-01,34.98333,"BETHLEHEM, AL US",1,COOP:010776,METERS,-86.63333

174,1948-04-01,1967-12-01,34.16667,"BEXAR, AL US",0.9527,COOP:010790,METERS,-88.11667

134.1,1938-12-01,2015-11-01,32.6624,"BILLINGSLEY, AL US",0.7565,COOP:010823,METERS,-86.7244

499.9,1959-07-01,1962-03-01,34.76667,"BINGHAM MOUNTAIN, AL US",0.9692,COOP:010826,METERS,-86.28333

226.8,1978-10-01,1990-02-01,33.46667,"BIRMINGHAM WSFO, AL US",0.9998,COOP:010829,METERS,-86.83333

187.5,1948-06-01,2015-11-01,33.56556,"BIRMINGHAM AIRPORT, AL US",0.995,COOP:010831,METERS,-86.745

214,1946-01-01,1953-10-01,33.53333,"BIRMINGHAM, AL US",1,COOP:010836,METERS,-86.83333

143,1948-01-01,1962-03-01,34.65,"BISHOP, AL US",0.9885,COOP:010854,METERS,-88.11667

98.1,1954-07-01,1957-07-01,31.66667,"BLUE SPRINGS, AL US",0.7292,COOP:010948,METERS,-85.51667

326.1,1938-01-01,2015-11-01,34.2008,"BOAZ, AL US",0.9198,COOP:010957,METERS,-86.1633

83.5,1931-01-01,1982-01-01,31.58333,"BRANTLEY, AL US",0.9885,COOP:011069,METERS,-86.26667

48.8,1977-03-01,2015-11-01,31.1413,"BREWTON 3 ENE, AL US",0.9892,COOP:011080,METERS,-87.0486

25.9,1931-01-01,2014-12-01,31.0583,"BREWTON 3 SSE, AL US",0.994,COOP:011084,METERS,-87.0549

204.2,1931-01-01,2015-11-01,34.9786,"BRIDGEPORT 5 NW, AL US",0.8686,COOP:011099,METERS,-85.8008

153.3,1960-07-01,2010-10-01,33.262,"BROOKWOOD, AL US",0.9354,COOP:011143,METERS,-87.3103

138.7,1931-01-01,2015-11-01,31.7055,"BRUNDIDGE, AL US",0.8479,COOP:011178,METERS,-85.8369

61,1989-06-01,2005-07-01,32.09111,"BUTLER, AL US",0.4072,COOP:011189,METERS,-88.23222

140.5,1981-12-01,2015-11-01,33.4517,"CAHABA PUMP HOUSE, AL US",0.9706,COOP:011225,METERS,-86.7158

161.5,1931-01-01,2015-11-01,33.0944,"CALERA, AL US",0.8774,COOP:011288,METERS,-86.7455

71.6,1950-01-01,1961-02-01,32.02889,"CAMDEN 3 NW, AL US",0.963,COOP:011300,METERS,-87.31667

71.6,1961-03-01,2001-12-01,32.02889,"CAMDEN 3 NW, AL US",0.9979,COOP:011301,METERS,-87.31667

27.1,1948-01-01,1967-12-01,31.91667,"CAMPBELL, AL US",0.7446,COOP:011315,METERS,-87.98333

207.3,1931-01-01,2013-12-01,32.8236,"CAMP HILL 2 NW, AL US",0.6385,COOP:011324,METERS,-85.6561

136.6,1938-01-01,2013-12-01,33.8463,"CARBON HILL 4 SE, AL US",0.8596,COOP:011377,METERS,-87.4871

182.9,2002-01-01,2015-11-01,34.15,"CENTRE, AL US",0.9343,COOP:011490,METERS,-85.6846

238,1948-01-01,1962-03-01,34.38333,"CENTER GROVE, AL US",1,COOP:011492,METERS,-86.63333

182.9,1949-01-01,1949-03-01,34.81667,"CENTER STAR, AL US",1,COOP:011497,METERS,-87.41667

188.1,1949-01-01,1984-10-01,34.11667,"CENTRE 4 SW, AL US",0.7837,COOP:011512,METERS,-85.73333

67.1,1931-01-01,1973-12-01,32.95,"CENTREVILLE, AL US",0.9806,COOP:011520,METERS,-87.13333

100.6,1975-01-01,2015-11-01,32.929,"CENTREVILLE 2.9 SW, AL US",0.9838,COOP:011525,METERS,-87.1898

86.9,1949-09-01,2015-11-01,31.4715,"CHATOM, AL US",0.9799,COOP:011566,METERS,-88.2504

146,1937-01-01,1968-02-01,33.28333,"CHILDERSBURG, AL US",0.9894,COOP:011615,METERS,-86.36667

127.4,1957-01-01,2015-11-01,33.285,"CHILDERSBURG WATER PLANT, AL US",1,COOP:011620,METERS,-86.3431

100.9,1931-01-01,1966-12-01,31.08333,"CITRONELLE, AL US",0.9745,COOP:011685,METERS,-88.23333

15.2,1952-11-01,2015-11-01,31.61444,"CLAIBORNE LOCK AND DAM, AL US",0.9115,COOP:011690,METERS,-87.55028

179.8,1931-01-01,2013-12-01,32.816,"CLANTON, AL US",0.9468,COOP:011694,METERS,-86.60417

173.4,1931-01-01,2015-11-01,31.8709,"CLAYTON, AL US",0.9186,COOP:011725,METERS,-85.4501

46,1956-08-01,1956-12-01,33.08333,"COCHRANE 2 E, AL US",0.7958,COOP:011799,METERS,-88.23333

3.7,1956-10-01,2014-12-01,30.3875,"CODEN, AL US",0.9184,COOP:011803,METERS,-88.227

76.2,1931-01-01,1983-12-01,31.18333,"COFFEE SPRINGS, AL US",0.9717,COOP:011807,METERS,-85.93333

14,1982-12-01,2015-10-01,31.7562,"COFFEEVILLE LOCK AND DAM, AL US",0.9873,COOP:011810,METERS,-88.1288

143,1951-11-01,1981-01-01,34.75,"COLBERT STEAM PLANT, AL US",0.992,COOP:011819,METERS,-87.85

228.9,1938-01-01,1978-06-01,34.25,"COLLINSVILLE, AL US",0.961,COOP:011849,METERS,-85.88333

27.1,1935-07-01,1966-07-01,31.28333,"COLUMBIA, AL US",0.9463,COOP:011865,METERS,-85.11667

97.5,1932-04-01,1991-07-01,33.75,"CORDOVA, AL US",0.9944,COOP:011940,METERS,-87.15

66.1,1959-05-01,1986-08-01,32.15,"COTTONTON, AL US",0.9358,COOP:011974,METERS,-85.06667

