mindate,maxdate,name,datacoverage,id

1983-01-01,2018-05-26,"Abu Dhabi, AE",1,CITY:AE000001

1944-03-01,2018-05-26,"Ajman, AE",0.9992,CITY:AE000002

1944-03-01,2018-05-26,"Dubai, AE",0.9992,CITY:AE000003

1944-03-01,2018-05-26,"Sharjah, AE",0.9992,CITY:AE000006

1966-03-02,2018-05-26,"Kabul, AF",0.9969,CITY:AF000007

1973-01-02,2018-05-26,"Kandahar, AF",0.8304,CITY:AF000008

1877-04-01,2018-05-26,"Algiers, AG",1,CITY:AG000001

1909-11-01,2018-05-26,"Annaba, AG",1,CITY:AG000002

1973-04-01,2018-05-26,"Batna, AG",0.9993,CITY:AG000003

1957-01-01,2018-05-26,"Bechar, AG",1,CITY:AG000004

1909-11-01,2018-05-26,"Bejaia, AG",1,CITY:AG000005

1880-05-01,2018-05-26,"Constantine, AG",1,CITY:AG000006

1995-10-01,2018-05-25,"Guelma, AG",1,CITY:AG000007

1888-01-01,2018-05-26,"Laghouat, AG",1,CITY:AG000008

1995-10-01,2018-05-25,"Medea, AG",0.9114,CITY:AG000009

1976-04-01,2018-05-25,"Mostaganem, AG",0.9995,CITY:AG000010

1957-01-01,2018-05-26,"Oran, AG",1,CITY:AG000011

1985-02-01,2018-05-25,"Oum el Bouaghi, AG",1,CITY:AG000012

1981-01-01,2018-05-25,"Saida, AG",0.9973,CITY:AG000013

1995-10-01,2018-05-25,"Sidi-Bel-Abbes, AG",1,CITY:AG000014

1957-12-31,2018-05-25,"Skikda, AG",0.8073,CITY:AG000015

1940-01-01,2014-02-18,"Tamanrasset, AG",0.9973,CITY:AG000016

1981-01-01,2018-05-26,"Tlemcen, AG",1,CITY:AG000017

1881-07-01,1992-01-31,"Baku, AJ",0.991,CITY:AJ000001

1925-09-01,1991-12-31,"Naxcivian, AJ",1,CITY:AJ000002

n, AJ",1,CITY:AJ000002

