time,value
2010-05-01 00:00:00,487
2010-05-01 01:00:00,479
2010-05-01 02:00:00,472
2010-05-01 03:00:00,467
2010-05-01 04:00:00,463
2010-05-01 05:00:00,460
2010-05-01 06:00:00,465
2010-05-01 07:00:00,481
2010-05-01 08:00:00,498
2010-05-01 09:00:00,516
2010-05-01 10:00:00,534
2010-05-01 11:00:00,551
2010-05-01 12:00:00,566
2010-05-01 13:00:00,578
2010-05-01 14:00:00,586
2010-05-01 15:00:00,589
2010-05-01 16:00:00,587
2010-05-01 17:00:00,581
2010-05-01 18:00:00,568
2010-05-01 19:00:00,547
2010-05-01 20:00:00,527
2010-05-01 21:00:00,515
2010-05-01 22:00:00,505
2010-05-01 23:00:00,496
2010-05-02 00:00:00,488
2010-05-02 01:00:00,480
2010-05-02 02:00:00,474
2010-05-02 03:00:00,468
2010-05-02 04:00:00,464
2010-05-02 05:00:00,461
2010-05-02 06:00:00,467
2010-05-02 07:00:00,482
2010-05-02 08:00:00,499
2010-05-02 09:00:00,518
2010-05-02 10:00:00,535
2010-05-02 11:00:00,553
2010-05-02 12:00:00,567
2010-05-02 13:00:00,580
2010-05-02 14:00:00,587
2010-05-02 15:00:00,590
2010-05-02 16:00:00,589
2010-05-02 17:00:00,583
2010-05-02 18:00:00,569
2010-05-02 19:00:00,548
2010-05-02 20:00:00,528
2010-05-02 21:00:00,517
2010-05-02 22:00:00,507
2010-05-02 23:00:00,498
2010-05-03 00:00:00,490
2010-05-03 01:00:00,482
2010-05-03 02:00:00,476
2010-05-03 03:00:00,470
2010-05-03 04:00:00,466
2010-05-03 05:00:00,463
2010-05-03 06:00:00,469
2010-05-03 07:00:00,484
2010-05-03 08:00:00,501
2010-05-03 09:00:00,520
2010-05-03 10:00:00,537
2010-05-03 11:00:00,555
2010-05-03 12:00:00,569
2010-05-03 13:00:00,582
2010-05-03 14:00:00,589
2010-05-03 15:00:00,592
2010-05-03 16:00:00,591
2010-05-03 17:00:00,584
2010-05-03 18:00:00,571
2010-05-03 19:00:00,550
2010-05-03 20:00:00,530
2010-05-03 21:00:00,518
2010-05-03 22:00:00,508
2010-05-03 23:00:00,499
2010-05-04 00:00:00,491
2010-05-04 01:00:00,483
2010-05-04 02:00:00,477
2010-05-04 03:00:00,471
2010-05-04 04:00:00,467
2010-05-04 05:00:00,465
2010-05-04 06:00:00,471
2010-05-04 07:00:00,486
2010-05-04 08:00:00,503
2010-05-04 09:00:00,520
2010-05-04 10:00:00,538
2010-05-04 11:00:00,555
2010-05-04 12:00:00,570
2010-05-04 13:00:00,582
2010-05-04 14:00:00,590
2010-05-04 15:00:00,594
2010-05-04 16:00:00,592
2010-05-04 17:00:00,585
2010-05-04 18:00:00,572
2010-05-04 19:00:00,552
2010-05-04 20:00:00,531
2010-05-04 21:00:00,518
2010-05-04 22:00:00,509
2010-05-04 23:00:00,500
2010-05-05 00:00:00,492
2010-05-05 01:00:00,484
2010-05-05 02:00:00,478
2010-05-05 03:00:00,472
2010-05-05 04:00:00,468
2010-05-05 05:00:00,465
2010-05-05 06:00:00,472
2010-05-05 07:00:00,487
2010-05-05 08:00:00,504
2010-05-05 09:00:00,522
2010-05-05 10:00:00,540
2010-05-05 11:00:00,556
2010-05-05 12:00:00,571
2010-05-05 13:00:00,584
2010-05-05 14:00:00,591
2010-05-05 15:00:00,596
2010-05-05 16:00:00,595
2010-05-05 17:00:00,588
2010-05-05 18:00:00,574
2010-05-05 19:00:00,554
2010-05-05 20:00:00,533
2010-05-05 21:00:00,520
2010-05-05 22:00:00,510
2010-05-05 23:00:00,501
2010-05-06 00:00:00,493
2010-05-06 01:00:00,485
2010-05-06 02:00:00,479
2010-05-06 03:00:00,473
2010-05-06 04:00:00,469
2010-05-06 05:00:00,467
2010-05-06 06:00:00,473
2010-05-06 07:00:00,488
2010-05-06 08:00:00,505
2010-05-06 09:00:00,523
2010-05-06 10:00:00,541
2010-05-06 11:00:00,558
2010-05-06 12:00:00,573
2010-05-06 13:00:00,586
2010-05-06 14:00:00,593
2010-05-06 15:00:00,597
2010-05-06 16:00:00,596
2010-05-06 17:00:00,590
2010-05-06 18:00:00,576
2010-05-06 19:00:00,555
2010-05-06 20:00:00,534
2010-05-06 21:00:00,521
2010-05-06 22:00:00,512
2010-05-06 23:00:00,503
2010-05-07 00:00:00,495
2010-05-07 01:00:00,487
2010-05-07 02:00:00,481
2010-05-07 03:00:00,475
2010-05-07 04:00:00,471
2010-05-07 05:00:00,469
2010-05-07 06:00:00,475
2010-05-07 07:00:00,490
2010-05-07 08:00:00,507
2010-05-07 09:00:00,525
2010-05-07 10:00:00,543
2010-05-07 11:00:00,559
2010-05-07 12:00:00,574
2010-05-07 13:00:00,587
2010-05-07 14:00:00,595
2010-05-07 15:00:00,600
2010-05-07 16:00:00,599
2010-05-07 17:00:00,592
2010-05-07 18:00:00,578
2010-05-07 19:00:00,558
2010-05-07 20:00:00,536
2010-05-07 21:00:00,523
2010-05-07 22:00:00,514
2010-05-07 23:00:00,504
2010-05-08 00:00:00,496
2010-05-08 01:00:00,488
2010-05-08 02:00:00,482
2010-05-08 03:00:00,477
2010-05-08 04:00:00,472
2010-05-08 05:00:00,470
2010-05-08 06:00:00,478
2010-05-08 07:00:00,492
2010-05-08 08:00:00,509
2010-05-08 09:00:00,527
2010-05-08 10:00:00,545
2010-05-08 11:00:00,561
2010-05-08 12:00:00,576
2010-05-08 13:00:00,589
2010-05-08 14:00:00,597
2010-05-08 15:00:00,601
2010-05-08 16:00:00,601
2010-05-08 17:00:00,595
2010-05-08 18:00:00,581
2010-05-08 19:00:00,560
2010-05-08 20:00:00,538
2010-05-08 21:00:00,526
2010-05-08 22:00:00,516
2010-05-08 23:00:00,506
2010-05-09 00:00:00,498
2010-05-09 01:00:00,490
2010-05-09 02:00:00,484
2010-05-09 03:00:00,479
2010-05-09 04:00:00,474
2010-05-09 05:00:00,472
2010-05-09 06:00:00,479
2010-05-09 07:00:00,494
2010-05-09 08:00:00,511
2010-05-09 09:00:00,529
2010-05-09 10:00:00,547
2010-05-09 11:00:00,564
2010-05-09 12:00:00,578
2010-05-09 13:00:00,592
2010-05-09 14:00:00,600
2010-05-09 15:00:00,605
2010-05-09 16:00:00,605
2010-05-09 17:00:00,599
2010-05-09 18:00:00,585
2010-05-09 19:00:00,564
